geo_id,county_name,children_under_2,children_2_to_5,children_total_under_5,children_total_under_5.1,pct_non_english_home,pct_all_parents_work,pct_parents_nontraditional_hours,pct_remote_work,pct_eligible_subsidy,median_household_income,poverty_level_ratio,data_year,bg,tract6,county,state,tract_geoid11,zip
2.40E+11,Block Group 1; Census Tract 6011.03; Howard County; Maryland,152,112,264,264,0,13.72%,9.47%,12.73%,2.01%,93205.55133,1.10199766,2023,1,601103,Howard County,Maryland,24027601103,21075
2.40E+11,Block Group 2; Census Tract 6011.03; Howard County; Maryland,48,36,84,84,0,4.37%,3.01%,4.05%,0.64%,29656.31179,0.350635619,2023,2,601103,Howard County,Maryland,24027601103,21075
2.40E+11,Block Group 3; Census Tract 6011.03; Howard County; Maryland,103,75,178,178,0,9.25%,6.38%,8.58%,1.35%,62843.13688,0.743013574,2023,3,601103,Howard County,Maryland,24027601103,21075
2.40E+11,Block Group 1; Census Tract 6011.04; Howard County; Maryland,128,93,221,221,0,17.02%,11.10%,22.46%,3.98%,170627.7266,1.822729784,2023,1,601104,Howard County,Maryland,24027601104,21043
2.40E+11,Block Group 2; Census Tract 6011.04; Howard County; Maryland,27,19,46,46,0,3.54%,2.31%,4.68%,0.83%,35515.27341,0.37939172,2023,2,601104,Howard County,Maryland,24027601104,21043
2.40E+11,Block Group 1; Census Tract 6011.05; Howard County; Maryland,169,124,293,293,0,17.56%,9.70%,22.90%,6.34%,118951.6477,1.700169072,2023,1,601105,Howard County,Maryland,24027601105,21043
2.40E+11,Block Group 2; Census Tract 6011.05; Howard County; Maryland,44,32,76,76,0,4.56%,2.52%,5.94%,1.64%,30854.3523,0.440999486,2023,2,601105,Howard County,Maryland,24027601105,21043
2.40E+11,Block Group 1; Census Tract 6011.07; Howard County; Maryland,210,154,364,364,0,22.11%,25.12%,14.16%,29.80%,79679.6,1.851707426,2023,1,601107,Howard County,Maryland,24027601107,21075
2.40E+11,Block Group 2; Census Tract 6011.07; Howard County; Maryland,9,7,16,16,0,0.97%,1.10%,0.62%,1.31%,3502.4,0.081393733,2023,2,601107,Howard County,Maryland,24027601107,21075
2.40E+11,Block Group 1; Census Tract 6011.08; Howard County; Maryland,24,17,41,41,0,33.33%,2.97%,5.83%,4.10%,45616.66667,0.717457329,2023,1,601108,Howard County,Maryland,24027601108,21075
2.40E+11,Block Group 2; Census Tract 6011.08; Howard County; Maryland,47,35,82,82,0,66.67%,5.94%,11.67%,8.20%,91233.33333,1.434914657,2023,2,601108,Howard County,Maryland,24027601108,21075
