geo_id,county_name,children_under_2,children_2_to_5,children_total_under_5,pct_non_english_home,pct_all_parents_work,pct_parents_nontraditional_hours,pct_remote_work,pct_eligible_subsidy,median_household_income,poverty_level_ratio,pct_hispanic,pct_white_non_hispanic,pct_black,pct_asian,pct_other_race,data_year
2.40276E+11,Block Group 1; Census Tract 6011.03; Howard County; Maryland,124,152,276,0,0.56097561,0.096995452,0.093908493,0.027422522,95811.26829,0,0.023247467,0.315880887,0.050480214,0.142236542,0.029130499,2022
2.40276E+11,Block Group 2; Census Tract 6011.03; Howard County; Maryland,41,51,92,0,0.18699187,0.032331817,0.031302831,0.009140841,31937.08943,0,0.007749156,0.105293629,0.016826738,0.047412181,0.009710166,2022
2.40276E+11,Block Group 3; Census Tract 6011.03; Howard County; Maryland,56,68,124,0,0.25203252,0.043577667,0.042190772,0.012320264,43045.64228,0,0.010444514,0.1419175,0.022679516,0.063903374,0.013087616,2022
2.40276E+11,Block Group 1; Census Tract 6011.04; Howard County; Maryland,86,105,191,0,0.809322034,0.086379034,0.173703928,0.041344526,161724.3941,0,0.035722608,0.510423361,0.062192475,0.138439746,0.062543845,2022
2.40276E+11,Block Group 2; Census Tract 6011.04; Howard County; Maryland,20,25,45,0,0.190677966,0.020351081,0.040925009,0.009740857,38102.60593,0,0.008416321,0.120256813,0.014652677,0.032616694,0.014735461,2022
2.40276E+11,Block Group 1; Census Tract 6011.05; Howard County; Maryland,126,153,279,0,0.891373802,0.107478405,0.209371806,0.063479641,135749.099,0,0.034887752,0.500498701,0.121859116,0.150298421,0.083829812,2022
2.40276E+11,Block Group 2; Census Tract 6011.05; Howard County; Maryland,15,19,34,0,0.108626198,0.013097727,0.025514844,0.00773587,16542.90096,0,0.004251554,0.060992673,0.014850215,0.018315937,0.010215819,2022
2.40276E+11,Block Group 1; Census Tract 6011.07; Howard County; Maryland,125,153,278,0,0.780898876,0.199263851,0.117763667,0.233943447,66291.28652,0,0.30983813,0.219511935,0.072379611,0.136898322,0.042270879,2022
2.40276E+11,Block Group 2; Census Tract 6011.07; Howard County; Maryland,35,43,78,0,0.219101124,0.055908563,0.033041604,0.065638809,18599.71348,0,0.086933,0.06158968,0.020307948,0.03841032,0.011860175,2022
2.40276E+11,Block Group 1; Census Tract 6011.08; Howard County; Maryland,38,47,85,0,0.566666667,0.052278521,0.086720648,0.079766265,77119.93333,0,0.084807256,0.269248212,0.081990232,0.111198325,0.019422641,2022
2.40276E+11,Block Group 2; Census Tract 6011.08; Howard County; Maryland,29,36,65,0,0.433333333,0.039977693,0.066315789,0.060997732,58974.06667,0,0.064852608,0.205895692,0.062698413,0.085034014,0.014852608,2022
2.40276E+11,Block Group 1; Census Tract 6012.03; Howard County; Maryland,376,460,836,0,0.774074074,0.097330447,0.148910078,0.176462149,96937.2963,0,0.050728765,0.142140995,0.396454506,0.158297185,0.026452623,2022
2.40276E+11,Block Group 2; Census Tract 6012.03; Howard County; Maryland,110,134,244,0,0.225925926,0.028407451,0.043461793,0.051503307,28292.7037,0,0.014806003,0.041486128,0.115711602,0.046201571,0.007720622,2022
2.40276E+11,Block Group 1; Census Tract 6012.04; Howard County; Maryland,99,122,221,0,0.521226415,0.077468985,0.110851856,0.06869935,70839.88208,0,0.034999072,0.194408908,0.132271884,0.120377668,0.039168883,2022
2.40276E+11,Block Group 2; Census Tract 6012.04; Howard County; Maryland,75,92,167,0,0.393867925,0.058539912,0.083765882,0.051913084,53530.58962,0,0.026447263,0.146906279,0.099952057,0.09096412,0.029598206,2022
2.40276E+11,Block Group 3; Census Tract 6012.04; Howard County; Maryland,16,20,36,0,0.08490566,0.012619382,0.018057316,0.011190844,11539.5283,0,0.005701206,0.031668419,0.021546551,0.019609032,0.006380452,2022
2.40276E+11,Block Group 1; Census Tract 6012.05; Howard County; Maryland,72,87,159,0,0.446629213,0.110679079,0.036291833,0.039171503,43302.93539,0,0.02185455,0.209377701,0.128071367,0.069175207,0.018150389,2022
